ContactName,EmailAddress,POAddressLine1,POAddressLine2,POAddressLine3,POAddressLine4,POCity,PORegion,POPostalCode,POCountry,SAAddressLine1,SAAddressLine2,SAAddressLine3,SAAddressLine4,SACity,SARegion,SAPostalCode,SACountry,InvoiceNumber,Reference,InvoiceDate,DueDate,PlannedDate,Total,TaxTotal,InvoiceAmountPaid,InvoiceAmountDue,InventoryItemCode,Description,Quantity,UnitAmount,Discount,LineAmount,AccountCode,TaxType,TaxAmount,TrackingName1,TrackingOption1,TrackingName2,TrackingOption2,Currency,Type,Sent,Status
Jesús Artemio Rodríguez Medina,chucho_artemio@hotmail.com,,,,,,,,,"Severo Castillo #329,",Col. Gobernadores,C.P. 38035,,Celaya,Guanajuato,,Mexico,INV-250116,,23/10/2025,30/10/2025,,14250.0000,0.0000,0.0000,14250.0000,,M92 W79 v W80 - Cat.2,3.0000,1250.0000,,3750.0000,1010,Tax Exempt,0.0000,,,,,USD,Sales invoice,Unsent,Awaiting Payment
One2Travel Group,jl.medina@one2travel.mx,"Av. Contreras 700, Oficina 204",San Jerónimo Lidice,,,Mexico City,,10400,Mexico,"Av. Contreras 700, Oficina 204",San Jerónimo Lidice,,,Mexico City,,10400,Mexico,INV-250115,,22/10/2025,17/12/2025,,1590.0000,0.0000,0.0000,1590.0000,,M24 Group K - Cat.3/4Enrique,2.0000,795.0000,,1590.0000,1010,Tax Exempt,0.0000,,,,,USD,Sales invoice,Unsent,Awaiting Payment
One2Travel Group,jl.medina@one2travel.mx,"Av. Contreras 700, Oficina 204",San Jerónimo Lidice,,,Mexico City,,10400,Mexico,"Av. Contreras 700, Oficina 204",San Jerónimo Lidice,,,Mexico City,,10400,Mexico,INV-250112,,20/10/2025,15/12/2025,,13800.0000,0.0000,0.0000,13800.0000,,M01 - Mexico Gr. A - Cat.3/4Gloria,2.0000,3950.0000,,7900.0000,1010,Tax Exempt,0.0000,,,,,USD,Sales invoice,Unsent,Awaiting Payment
One2Travel Group,jl.medina@one2travel.mx,"Av. Contreras 700, Oficina 204",San Jerónimo Lidice,,,Mexico City,,10400,Mexico,"Av. Contreras 700, Oficina 204",San Jerónimo Lidice,,,Mexico City,,10400,Mexico,INV-250112,,20/10/2025,15/12/2025,,13800.0000,0.0000,0.0000,13800.0000,,M28 - MEX * 2 - Cat.2Gloria,2.0000,2950.0000,,5900.0000,1010,Tax Exempt,0.0000,,,,,USD,Sales invoice,Unsent,Awaiting Payment
One2Travel Group,jl.medina@one2travel.mx,"Av. Contreras 700, Oficina 204",San Jerónimo Lidice,,,Mexico City,,10400,Mexico,"Av. Contreras 700, Oficina 204",San Jerónimo Lidice,,,Mexico City,,10400,Mexico,INV-250112,,20/10/2025,15/12/2025,,13800.0000,0.0000,0.0000,13800.0000,,50% — USD 6900 on 27/10/202550% — USD 6900 on 15/12/2025,0,0,,0.0000,,,0.0000,,,,,USD,Sales invoice,Unsent,Awaiting Payment
One2Travel Group,jl.medina@one2travel.mx,"Av. Contreras 700, Oficina 204",San Jerónimo Lidice,,,Mexico City,,10400,Mexico,"Av. Contreras 700, Oficina 204",San Jerónimo Lidice,,,Mexico City,,10400,Mexico,INV-250108,,29/09/2025,6/10/2025,,3950.0000,0.0000,0.0000,3950.0000,,M01 - Mexico Gr. A - Cat.3/4,1.0000,3950.0000,,3950.0000,1010,Tax Exempt,0.0000,,,,,USD,Sales invoice,Unsent,Awaiting Payment
One2Travel Group,jl.medina@one2travel.mx,"Av. Contreras 700, Oficina 204",San Jerónimo Lidice,,,Mexico City,,10400,Mexico,"Av. Contreras 700, Oficina 204",San Jerónimo Lidice,,,Mexico City,,10400,Mexico,INV-250107,,29/09/2025,6/10/2025,,1950.0000,0.0000,0.0000,1950.0000,,M48 Group K - Cat.3/4,1.0000,650.0000,,650.0000,1010,Tax Exempt,0.0000,,,,,USD,Sales invoice,Unsent,Awaiting Payment
One2Travel Group,jl.medina@one2travel.mx,"Av. Contreras 700, Oficina 204",San Jerónimo Lidice,,,Mexico City,,10400,Mexico,"Av. Contreras 700, Oficina 204",San Jerónimo Lidice,,,Mexico City,,10400,Mexico,INV-250107,,29/09/2025,6/10/2025,,1950.0000,0.0000,0.0000,1950.0000,,M54 Group A - Cat.3/4,1.0000,650.0000,,650.0000,1010,Tax Exempt,0.0000,,,,,USD,Sales invoice,Unsent,Awaiting Payment
One2Travel Group,jl.medina@one2travel.mx,"Av. Contreras 700, Oficina 204",San Jerónimo Lidice,,,Mexico City,,10400,Mexico,"Av. Contreras 700, Oficina 204",San Jerónimo Lidice,,,Mexico City,,10400,Mexico,INV-250107,,29/09/2025,6/10/2025,,1950.0000,0.0000,0.0000,1950.0000,,M66 Group H - Cat.3/4,1.0000,650.0000,,650.0000,1010,Tax Exempt,0.0000,,,,,USD,Sales invoice,Unsent,Awaiting Payment
Administracion e Integracion de Eventos Zeus SA de CV,germel4@gmail.com,Calle Nubia 10,Colonia Claveria,Ciudad de Mexico,,México,,CP02080,Mexico,Calle Nubia 10,Colonia Claveria,Ciudad de Mexico,,México,,CP02080,Mexico,INV-250106,,29/09/2025,2/03/2026,,97800.0000,0.0000,24450.0000,73350.0000,,M01 - MEX * 1 - TopCat.1,5.0000,5950.0000,,29750.0000,1010,Tax Exempt,0.0000,,,,,USD,Sales invoice,Unsent,Awaiting Payment
Administracion e Integracion de Eventos Zeus SA de CV,germel4@gmail.com,Calle Nubia 10,Colonia Claveria,Ciudad de Mexico,,México,,CP02080,Mexico,Calle Nubia 10,Colonia Claveria,Ciudad de Mexico,,México,,CP02080,Mexico,INV-250106,,29/09/2025,2/03/2026,,97800.0000,0.0000,24450.0000,73350.0000,,M28 - MEX * 2 - TopCat.1,3.0000,4950.0000,,14850.0000,1010,Tax Exempt,0.0000,,,,,USD,Sales invoice,Unsent,Awaiting Payment
Administracion e Integracion de Eventos Zeus SA de CV,germel4@gmail.com,Calle Nubia 10,Colonia Claveria,Ciudad de Mexico,,México,,CP02080,Mexico,Calle Nubia 10,Colonia Claveria,Ciudad de Mexico,,México,,CP02080,Mexico,INV-250106,,29/09/2025,2/03/2026,,97800.0000,0.0000,24450.0000,73350.0000,,M53 - MEX * 3 - TopCat.1,3.0000,4950.0000,,14850.0000,1010,Tax Exempt,0.0000,,,,,USD,Sales invoice,Unsent,Awaiting Payment
Administracion e Integracion de Eventos Zeus SA de CV,germel4@gmail.com,Calle Nubia 10,Colonia Claveria,Ciudad de Mexico,,México,,CP02080,Mexico,Calle Nubia 10,Colonia Claveria,Ciudad de Mexico,,México,,CP02080,Mexico,INV-250106,,29/09/2025,2/03/2026,,97800.0000,0.0000,24450.0000,73350.0000,,M79 1A v 3CEFHI - TopCat1,4.0000,2950.0000,,11800.0000,1010,Tax Exempt,0.0000,,,,,USD,Sales invoice,Unsent,Awaiting Payment
Administracion e Integracion de Eventos Zeus SA de CV,germel4@gmail.com,Calle Nubia 10,Colonia Claveria,Ciudad de Mexico,,México,,CP02080,Mexico,Calle Nubia 10,Colonia Claveria,Ciudad de Mexico,,México,,CP02080,Mexico,INV-250106,,29/09/2025,2/03/2026,,97800.0000,0.0000,24450.0000,73350.0000,,M92 W79 v W80 - TopCat1,3.0000,2250.0000,,6750.0000,1010,Tax Exempt,0.0000,,,,,USD,Sales invoice,Unsent,Awaiting Payment
Administracion e Integracion de Eventos Zeus SA de CV,germel4@gmail.com,Calle Nubia 10,Colonia Claveria,Ciudad de Mexico,,México,,CP02080,Mexico,Calle Nubia 10,Colonia Claveria,Ciudad de Mexico,,México,,CP02080,Mexico,INV-250106,,29/09/2025,2/03/2026,,97800.0000,0.0000,24450.0000,73350.0000,,M102 W99 v W100 - TopCat1,4.0000,4950.0000,,19800.0000,1010,Tax Exempt,0.0000,,,,,USD,Sales invoice,Unsent,Awaiting Payment
Administracion e Integracion de Eventos Zeus SA de CV,germel4@gmail.com,Calle Nubia 10,Colonia Claveria,Ciudad de Mexico,,México,,CP02080,Mexico,Calle Nubia 10,Colonia Claveria,Ciudad de Mexico,,México,,CP02080,Mexico,INV-250106,,29/09/2025,2/03/2026,,97800.0000,0.0000,24450.0000,73350.0000,,"25% — USD 24,450 on 05-OCT-202550% — USD 48,900 on 15-DEC-202525% — USD 24,450 on 02-MAR-2026",0,0,,0.0000,,,0.0000,,,,,USD,Sales invoice,Unsent,Awaiting Payment
The Blend Group Ltd.,andrew@theblendgroup.com,"Woolyard, Bermondsey Street",,,,London,,SE1 3UD,United Kingdom,,,,,,,,,INV-250105,,22/09/2025,1/04/2026,,38700.0000,0.0000,9675.0000,29025.0000,,M01 - MEX * 1 - TopCat.1,6.0000,6450.0000,,38700.0000,1010,Tax Exempt,0.0000,,,,,USD,Sales invoice,Unsent,Awaiting Payment
The Blend Group Ltd.,andrew@theblendgroup.com,"Woolyard, Bermondsey Street",,,,London,,SE1 3UD,United Kingdom,,,,,,,,,INV-250105,,22/09/2025,1/04/2026,,38700.0000,0.0000,9675.0000,29025.0000,,25% — USD 9675 on 02/10/202525% — USD 9675 on 01/12/202550% — USD 19350 on 01/03/2026,0,0,,0.0000,,,0.0000,,,,,USD,Sales invoice,Unsent,Awaiting Payment
One2Travel Group,jl.medina@one2travel.mx,"Av. Contreras 700, Oficina 204",San Jerónimo Lidice,,,Mexico City,,10400,Mexico,"Av. Contreras 700, Oficina 204",San Jerónimo Lidice,,,Mexico City,,10400,Mexico,INV-250104,,22/09/2025,29/09/2025,,11400.0000,0.0000,0.0000,11400.0000,,M24 Group K - Cat.2,4.0000,950.0000,,3800.0000,1010,Tax Exempt,0.0000,,,,,USD,Sales invoice,Unsent,Awaiting Payment
One2Travel Group,jl.medina@one2travel.mx,"Av. Contreras 700, Oficina 204",San Jerónimo Lidice,,,Mexico City,,10400,Mexico,"Av. Contreras 700, Oficina 204",San Jerónimo Lidice,,,Mexico City,,10400,Mexico,INV-250104,,22/09/2025,29/09/2025,,11400.0000,0.0000,0.0000,11400.0000,,M36 Group F - Cat.2,4.0000,950.0000,,3800.0000,1010,Tax Exempt,0.0000,,,,,USD,Sales invoice,Unsent,Awaiting Payment
One2Travel Group,jl.medina@one2travel.mx,"Av. Contreras 700, Oficina 204",San Jerónimo Lidice,,,Mexico City,,10400,Mexico,"Av. Contreras 700, Oficina 204",San Jerónimo Lidice,,,Mexico City,,10400,Mexico,INV-250104,,22/09/2025,29/09/2025,,11400.0000,0.0000,0.0000,11400.0000,,M48 Group K - Cat.2,4.0000,950.0000,,3800.0000,1010,Tax Exempt,0.0000,,,,,USD,Sales invoice,Unsent,Awaiting Payment
One2Travel Group,jl.medina@one2travel.mx,"Av. Contreras 700, Oficina 204",San Jerónimo Lidice,,,Mexico City,,10400,Mexico,"Av. Contreras 700, Oficina 204",San Jerónimo Lidice,,,Mexico City,,10400,Mexico,INV-250103,,19/09/2025,26/09/2025,,3800.0000,0.0000,0.0000,3800.0000,,M36 Group F - Cat.2,4.0000,950.0000,,3800.0000,1010,Tax Exempt,0.0000,,,,,USD,Sales invoice,Unsent,Awaiting Payment
One2Travel Group,jl.medina@one2travel.mx,"Av. Contreras 700, Oficina 204",San Jerónimo Lidice,,,Mexico City,,10400,Mexico,"Av. Contreras 700, Oficina 204",San Jerónimo Lidice,,,Mexico City,,10400,Mexico,INV-250102,,15/09/2025,22/09/2025,,950.0000,0.0000,0.0000,950.0000,,M24 Group K - Cat.2Deysi,1.0000,950.0000,,950.0000,1010,Tax Exempt,0.0000,,,,,USD,Sales invoice,Unsent,Awaiting Payment
The Blend Group Ltd.,andrew@theblendgroup.com,"Woolyard, Bermondsey Street",,,,London,,SE1 3UD,United Kingdom,,,,,,,,,INV-250101,,12/09/2025,1/03/2026,,87400.0000,0.0000,21850.0000,65550.0000,,M64 Group G - TopCat.1,2.0000,1250.0000,,2500.0000,1010,Tax Exempt,0.0000,,,,,USD,Sales invoice,Unsent,Awaiting Payment
The Blend Group Ltd.,andrew@theblendgroup.com,"Woolyard, Bermondsey Street",,,,London,,SE1 3UD,United Kingdom,,,,,,,,,INV-250101,,12/09/2025,1/03/2026,,87400.0000,0.0000,21850.0000,65550.0000,,M85 1B v 3EFGIJ - TopCat.1,2.0000,1100.0000,,2200.0000,1010,Tax Exempt,0.0000,,,,,USD,Sales invoice,Unsent,Awaiting Payment
The Blend Group Ltd.,andrew@theblendgroup.com,"Woolyard, Bermondsey Street",,,,London,,SE1 3UD,United Kingdom,,,,,,,,,INV-250101,,12/09/2025,1/03/2026,,87400.0000,0.0000,21850.0000,65550.0000,,M98 W93 v W94 - TopCat.1,2.0000,2450.0000,,4900.0000,1010,Tax Exempt,0.0000,,,,,USD,Sales invoice,Unsent,Awaiting Payment
The Blend Group Ltd.,andrew@theblendgroup.com,"Woolyard, Bermondsey Street",,,,London,,SE1 3UD,United Kingdom,,,,,,,,,INV-250101,,12/09/2025,1/03/2026,,87400.0000,0.0000,21850.0000,65550.0000,,M101 W97 v W98 - TopCat1Together,4.0000,4950.0000,,19800.0000,1010,Tax Exempt,0.0000,,,,,USD,Sales invoice,Unsent,Awaiting Payment
The Blend Group Ltd.,andrew@theblendgroup.com,"Woolyard, Bermondsey Street",,,,London,,SE1 3UD,United Kingdom,,,,,,,,,INV-250101,,12/09/2025,1/03/2026,,87400.0000,0.0000,21850.0000,65550.0000,,M104 Final - TopCat1Together,4.0000,14500.0000,,58000.0000,1010,Tax Exempt,0.0000,,,,,USD,Sales invoice,Unsent,Awaiting Payment
The Blend Group Ltd.,andrew@theblendgroup.com,"Woolyard, Bermondsey Street",,,,London,,SE1 3UD,United Kingdom,,,,,,,,,INV-250101,,12/09/2025,1/03/2026,,87400.0000,0.0000,21850.0000,65550.0000,,25% — USD 21850 on 22/09/202525% — USD 21850 on 01/12/202550% — USD 43700 on 01/03/2026,0,0,,0.0000,,,0.0000,,,,,USD,Sales invoice,Unsent,Awaiting Payment
One2Travel Group,jl.medina@one2travel.mx,"Av. Contreras 700, Oficina 204",San Jerónimo Lidice,,,Mexico City,,10400,Mexico,"Av. Contreras 700, Oficina 204",San Jerónimo Lidice,,,Mexico City,,10400,Mexico,INV-250100,,11/09/2025,18/09/2025,,9900.0000,0.0000,0.0000,9900.0000,,M01 - Mexico Gr. A - Cat.1,2.0000,4950.0000,,9900.0000,1010,Tax Exempt,0.0000,,,,,USD,Sales invoice,Unsent,Awaiting Payment
Administracion e Integracion de Eventos Zeus SA de CV,germel4@gmail.com,Calle Nubia 10,Colonia Claveria,Ciudad de Mexico,,México,,CP02080,Mexico,Calle Nubia 10,Colonia Claveria,Ciudad de Mexico,,México,,CP02080,Mexico,INV-250098,,10/09/2025,1/12/2025,,21600.0000,0.0000,10800.0000,10800.0000,,M53 - MEX * 3 - Cat.2,4.0000,3450.0000,,13800.0000,1010,Tax Exempt,0.0000,,,,,USD,Sales invoice,Unsent,Awaiting Payment
Administracion e Integracion de Eventos Zeus SA de CV,germel4@gmail.com,Calle Nubia 10,Colonia Claveria,Ciudad de Mexico,,México,,CP02080,Mexico,Calle Nubia 10,Colonia Claveria,Ciudad de Mexico,,México,,CP02080,Mexico,INV-250098,,10/09/2025,1/12/2025,,21600.0000,0.0000,10800.0000,10800.0000,,M79 1A v 3CEFHI - Cat2,4.0000,1950.0000,,7800.0000,1010,Tax Exempt,0.0000,,,,,USD,Sales invoice,Unsent,Awaiting Payment
Administracion e Integracion de Eventos Zeus SA de CV,germel4@gmail.com,Calle Nubia 10,Colonia Claveria,Ciudad de Mexico,,México,,CP02080,Mexico,Calle Nubia 10,Colonia Claveria,Ciudad de Mexico,,México,,CP02080,Mexico,INV-250098,,10/09/2025,1/12/2025,,21600.0000,0.0000,10800.0000,10800.0000,,50% — USD 10800 on 22/09/202550% — USD 10800 on 01/12/2025,0,0,,0.0000,,,0.0000,,,,,USD,Sales invoice,Unsent,Awaiting Payment
One2Travel Group,jl.medina@one2travel.mx,"Av. Contreras 700, Oficina 204",San Jerónimo Lidice,,,Mexico City,,10400,Mexico,"Av. Contreras 700, Oficina 204",San Jerónimo Lidice,,,Mexico City,,10400,Mexico,INV-250097,,10/09/2025,17/09/2025,,3750.0000,0.0000,0.0000,3750.0000,,M92 W79 v W80 - Cat.2(Paulina),3.0000,1250.0000,,3750.0000,1010,Tax Exempt,0.0000,,,,,USD,Sales invoice,Unsent,Awaiting Payment
One2Travel Group,jl.medina@one2travel.mx,"Av. Contreras 700, Oficina 204",San Jerónimo Lidice,,,Mexico City,,10400,Mexico,"Av. Contreras 700, Oficina 204",San Jerónimo Lidice,,,Mexico City,,10400,Mexico,INV-250095,,10/09/2025,17/09/2025,,6600.0000,0.0000,0.0000,6600.0000,,M24 Group K - TopCat.1(Ethel),4.0000,1650.0000,,6600.0000,1010,Tax Exempt,0.0000,,,,,USD,Sales invoice,Unsent,Awaiting Payment
One2Travel Group,jl.medina@one2travel.mx,"Av. Contreras 700, Oficina 204",San Jerónimo Lidice,,,Mexico City,,10400,Mexico,"Av. Contreras 700, Oficina 204",San Jerónimo Lidice,,,Mexico City,,10400,Mexico,INV-250093,,28/08/2025,4/09/2025,,1500.0000,0.0000,0.0000,1500.0000,,M24 Group K - Cat.3/4Diana,2.0000,750.0000,,1500.0000,1010,Tax Exempt,0.0000,,,,,USD,Sales invoice,Unsent,Awaiting Payment
The Blend Group Ltd.,andrew@theblendgroup.com,"Woolyard, Bermondsey Street",,,,London,,SE1 3UD,United Kingdom,,,,,,,,,INV-250091,,22/08/2025,1/03/2026,,106800.0000,0.0000,26700.0000,80100.0000,,M101 W97 v W98 - TopCat1,2.0000,4950.0000,,9900.0000,1010,Tax Exempt,0.0000,,,,,USD,Sales invoice,Unsent,Awaiting Payment
The Blend Group Ltd.,andrew@theblendgroup.com,"Woolyard, Bermondsey Street",,,,London,,SE1 3UD,United Kingdom,,,,,,,,,INV-250091,,22/08/2025,1/03/2026,,106800.0000,0.0000,26700.0000,80100.0000,,M102 W99 v W100 - TopCat1,2.0000,4950.0000,,9900.0000,1010,Tax Exempt,0.0000,,,,,USD,Sales invoice,Unsent,Awaiting Payment
The Blend Group Ltd.,andrew@theblendgroup.com,"Woolyard, Bermondsey Street",,,,London,,SE1 3UD,United Kingdom,,,,,,,,,INV-250091,,22/08/2025,1/03/2026,,106800.0000,0.0000,26700.0000,80100.0000,,M104 Final - TopCat1Together,6.0000,14500.0000,,87000.0000,1010,Tax Exempt,0.0000,,,,,USD,Sales invoice,Unsent,Awaiting Payment
The Blend Group Ltd.,andrew@theblendgroup.com,"Woolyard, Bermondsey Street",,,,London,,SE1 3UD,United Kingdom,,,,,,,,,INV-250091,,22/08/2025,1/03/2026,,106800.0000,0.0000,26700.0000,80100.0000,,Payment term:25% deposit to confirm25% deposit 1st Dec 202550% balance 1st March 2026,0,0,,0.0000,,,0.0000,,,,,USD,Sales invoice,Unsent,Awaiting Payment
Administracion e Integracion de Eventos Zeus SA de CV,germel4@gmail.com,Calle Nubia 10,Colonia Claveria,Ciudad de Mexico,,México,,CP02080,Mexico,Calle Nubia 10,Colonia Claveria,Ciudad de Mexico,,México,,CP02080,Mexico,INV-250090,,20/08/2025,1/12/2025,,3300.0000,0.0000,1625.0000,1675.0000,,M39 Group G - Cat3/4,6.0000,550.0000,,3300.0000,1010,Tax Exempt,0.0000,,,,,USD,Sales invoice,Unsent,Awaiting Payment
Administracion e Integracion de Eventos Zeus SA de CV,germel4@gmail.com,Calle Nubia 10,Colonia Claveria,Ciudad de Mexico,,México,,CP02080,Mexico,Calle Nubia 10,Colonia Claveria,Ciudad de Mexico,,México,,CP02080,Mexico,INV-250090,,20/08/2025,1/12/2025,,3300.0000,0.0000,1625.0000,1675.0000,,Payment term:50% deposit — due on receipt50% balance — 1st December 2025,0,0,,0.0000,,,0.0000,,,,,USD,Sales invoice,Unsent,Awaiting Payment
One2Travel Group,jl.medina@one2travel.mx,"Av. Contreras 700, Oficina 204",San Jerónimo Lidice,,,Mexico City,,10400,Mexico,"Av. Contreras 700, Oficina 204",San Jerónimo Lidice,,,Mexico City,,10400,Mexico,INV-250088,,20/08/2025,27/08/2025,,5500.0000,0.0000,0.0000,5500.0000,,M101 W97 v W98 - Cat3/4Kathia,2.0000,2750.0000,,5500.0000,1010,Tax Exempt,0.0000,,,,,USD,Sales invoice,Unsent,Awaiting Payment
One2Travel Group,jl.medina@one2travel.mx,"Av. Contreras 700, Oficina 204",San Jerónimo Lidice,,,Mexico City,,10400,Mexico,"Av. Contreras 700, Oficina 204",San Jerónimo Lidice,,,Mexico City,,10400,Mexico,INV-250087,,1/08/2025,1/12/2025,,13800.0000,0.0000,6900.0000,6900.0000,,Match 28 Mex * 2 TOP Cat 1,4.0000,3450.0000,,13800.0000,1010,Tax Exempt,0.0000,,,,,USD,Sales invoice,Sent,Awaiting Payment
One2Travel Group,jl.medina@one2travel.mx,"Av. Contreras 700, Oficina 204",San Jerónimo Lidice,,,Mexico City,,10400,Mexico,"Av. Contreras 700, Oficina 204",San Jerónimo Lidice,,,Mexico City,,10400,Mexico,INV-250087,,1/08/2025,1/12/2025,,13800.0000,0.0000,6900.0000,6900.0000,,"Payment Terms:50% direct by receiving invoice 6.900,- |USD 50% 1-12-2025 6.900,- USD",0,0,,0.0000,,,0.0000,,,,,USD,Sales invoice,Sent,Awaiting Payment
One2Travel Group,jl.medina@one2travel.mx,"Av. Contreras 700, Oficina 204",San Jerónimo Lidice,,,Mexico City,,10400,Mexico,"Av. Contreras 700, Oficina 204",San Jerónimo Lidice,,,Mexico City,,10400,Mexico,INV-250086,,29/07/2025,5/08/2025,,13550.0000,0.0000,6775.0000,6775.0000,,M53 Mex - 3 cat 3/4,2.0000,2250.0000,,4500.0000,1010,Tax Exempt,0.0000,,,,,USD,Sales invoice,Sent,Awaiting Payment
One2Travel Group,jl.medina@one2travel.mx,"Av. Contreras 700, Oficina 204",San Jerónimo Lidice,,,Mexico City,,10400,Mexico,"Av. Contreras 700, Oficina 204",San Jerónimo Lidice,,,Mexico City,,10400,Mexico,INV-250086,,29/07/2025,5/08/2025,,13550.0000,0.0000,6775.0000,6775.0000,,M79 1a - 3 CEFHI Cat 3/4,4.0000,950.0000,,3800.0000,1010,Tax Exempt,0.0000,,,,,USD,Sales invoice,Sent,Awaiting Payment
